playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,PPG,APG,RPG,SPG,BPG,full_team_name,ranking,wins,win_percentage
Rasheed Wallace,PF,POR,79,1521,152,645,101,101,131,0.513,2002,PF,79,19.3,23.700,5.6,4.1,9.7,2.4,0.5,3.7,19.253164556962027,1.9240506329113924,8.164556962025317,1.2784810126582278,1.2784810126582278,Portland Trail Blazers,6,49,0.598
Chris Webber*,PF,SAC,54,1322,258,546,90,76,158,0.497,2002,PF,54,24.4,29.000,4.8,3.9,8.6,3.8,1.6,3.9,24.48148148148148,4.777777777777778,10.11111111111111,1.6666666666666667,1.4074074074074074,Sacramento Kings,-1,61,0.744
Bonzi Wells,SG,POR,74,1255,204,444,113,25,191,0.500,2002,SG,74,18.4,26.400,3.0,3.0,6.0,1.4,0.5,2.3,16.95945945945946,2.7567567567567566,6.0,1.527027027027027,0.33783783783783783,Portland Trail Blazers,6,49,0.598
Shareef Abdur-Rahim,PF,ATL,81,1608,242,677,87,38,212,0.487,2003,PF,81,19.9,24.200,7.4,2.3,9.7,2.3,-0.7,2.8,19.85185185185185,2.9876543209876543,8.358024691358025,1.0740740740740742,0.4691358024691358,Atlanta Hawks,20,35,0.427
Ray Allen*,SG,MIL,47,1003,164,218,57,11,117,0.514,2003,SG,47,19.9,27.800,3.8,0.5,4.3,3.4,-1.9,1.5,21.340425531914892,3.4893617021276597,4.638297872340425,1.2127659574468086,0.23404255319148937,Milwaukee Bucks,14,42,0.512
Gilbert Arenas,PG,GSW,82,1497,514,386,124,17,290,0.478,2003,PG,82,18.6,24.900,5.8,0.7,6.5,2.6,-1.3,2.4,18.25609756097561,6.2682926829268295,4.7073170731707314,1.5121951219512195,0.2073170731707317,Golden State Warriors,17,38,0.463
Mike Bibby,PG,SAC,55,875,285,147,72,8,127,0.510,2003,PG,55,17.6,21.900,3.5,2.0,5.6,1.8,-0.1,1.8,15.909090909090908,5.181818181818182,2.672727272727273,1.309090909090909,0.14545454545454545,Sacramento Kings,1,59,0.72
Chauncey Billups,PG,DET,74,1199,287,273,63,15,134,0.506,2003,PG,74,20.4,24.100,7.0,2.9,9.9,4.3,0.3,3.8,16.2027027027027,3.8783783783783785,3.689189189189189,0.8513513513513513,0.20270270270270271,Detroit Pistons,5,50,0.61
Elton Brand,PF,LAC,62,1146,157,703,71,158,161,0.502,2003,PF,62,21.7,22.400,4.9,2.7,7.6,2.5,0.5,3.1,18.483870967741936,2.532258064516129,11.338709677419354,1.1451612903225807,2.5483870967741935,Los Angeles Clippers,23,27,0.329
Kobe Bryant*,SG,LAL,82,2461,481,564,181,67,288,0.483,2003,SG,82,26.2,32.900,11.0,4.0,14.9,6.3,0.7,7.7,30.01219512195122,5.865853658536586,6.878048780487805,2.207317073170732,0.8170731707317073,Los Angeles Lakers,4,50,0.61
Caron Butler,SF,MIA,78,1201,213,397,137,31,192,0.432,2003,SF,78,15.1,22.900,1.6,3.6,5.1,-0.4,1.0,1.8,15.397435897435898,2.730769230769231,5.089743589743589,1.7564102564102564,0.3974358974358974,Miami Heat,24,25,0.305
Vince Carter,SG,TOR,43,884,143,188,48,41,74,0.497,2003,SG,43,21.9,28.100,3.4,0.8,4.2,4.7,-0.2,2.4,20.558139534883722,3.3255813953488373,4.372093023255814,1.1162790697674418,0.9534883720930233,Toronto Raptors,25,24,0.293
Sam Cassell,PG,MIL,78,1536,450,342,88,14,177,0.495,2003,PG,78,22.3,26.500,8.8,0.8,9.6,3.9,-1.2,3.2,19.692307692307693,5.769230769230769,4.384615384615385,1.1282051282051282,0.1794871794871795,Milwaukee Bucks,14,42,0.512
Baron Davis,PG,NOH,50,856,320,186,91,22,140,0.478,2003,PG,50,16.9,24.000,2.2,2.2,4.5,2.5,0.7,2.5,17.12,6.4,3.72,1.82,0.44,New Orleans Hornets,10,47,0.573
Ricky Davis,SG,CLE,79,1626,436,390,125,36,277,0.435,2003,SG,79,16.1,27.100,1.5,1.5,3.0,1.0,-1.4,1.3,20.582278481012658,5.518987341772152,4.936708860759493,1.5822784810126582,0.45569620253164556,Cleveland Cavaliers,27,17,0.207
Tim Duncan*,PF,SAS,81,1884,316,1043,55,237,248,0.515,2003,PF,81,26.9,28.000,9.5,6.9,16.5,5.0,2.5,7.7,23.25925925925926,3.9012345679012346,12.876543209876543,0.6790123456790124,2.925925925925926,San Antonio Spurs,0,60,0.732
Michael Finley,SF,DAL,69,1331,205,402,76,21,114,0.475,2003,SF,69,17.6,24.200,4.3,2.5,6.7,2.4,-0.8,2.4,19.28985507246377,2.971014492753623,5.826086956521739,1.1014492753623188,0.30434782608695654,Dallas Mavericks,-1,60,0.732
Steve Francis,PG,HOU,81,1703,502,499,141,41,299,0.468,2003,PG,81,20.6,26.100,7.4,3.7,11.1,3.4,0.3,4.8,21.02469135802469,6.197530864197531,6.160493827160494,1.7407407407407407,0.5061728395061729,Houston Rockets,13,43,0.524
Kevin Garnett*,PF,MIN,82,1883,495,1102,113,129,229,0.508,2003,PF,82,26.4,26.400,9.8,5.8,15.6,6.0,2.4,8.7,22.963414634146343,6.036585365853658,13.439024390243903,1.3780487804878048,1.5731707317073171,Minnesota Timberwolves,2,51,0.622
Pau Gasol*,PF,MEM,82,1555,229,720,34,148,213,0.510,2003,PF,82,20.7,24.100,6.5,2.0,8.5,2.1,-0.3,2.8,18.963414634146343,2.792682926829268,8.78048780487805,0.4146341463414634,1.8048780487804879,Memphis Grizzlies,22,28,0.341
Richard Hamilton,SG,DET,82,1612,208,318,64,13,200,0.456,2003,SG,82,18.7,31.300,4.3,3.0,7.3,1.2,-0.8,1.6,19.658536585365855,2.5365853658536586,3.8780487804878048,0.7804878048780488,0.15853658536585366,Detroit Pistons,5,50,0.61
Matt Harpring,SF,UTA,78,1370,133,514,73,17,160,0.543,2003,SF,78,19.3,23.900,6.4,2.4,8.8,3.0,-1.1,2.6,17.564102564102566,1.705128205128205,6.589743589743589,0.9358974358974359,0.21794871794871795,Utah Jazz,9,47,0.573
Allan Houston,SG,NYK,82,1845,220,231,54,7,178,0.506,2003,SG,82,17.7,27.000,6.6,0.6,7.2,2.9,-1.8,2.4,22.5,2.682926829268293,2.817073170731707,0.6585365853658537,0.08536585365853659,New York Knicks,18,37,0.451
Juwan Howard,PF,DEN,77,1418,234,585,77,27,189,0.450,2003,PF,77,17.2,26.100,2.7,3.4,6.0,1.2,-0.1,2.1,18.415584415584416,3.038961038961039,7.597402597402597,1.0,0.35064935064935066,Denver Nuggets,26,17,0.207
Zydrunas Ilgauskas,C,CLE,81,1390,127,611,56,152,210,0.441,2003,C,81,19.4,27.800,2.9,2.1,5.0,0.5,-0.8,1.0,17.160493827160494,1.5679012345679013,7.54320987654321,0.691358024691358,1.876543209876543,Cleveland Cavaliers,27,17,0.207
Allen Iverson*,SG,PHI,82,2262,454,344,225,13,286,0.436,2003,SG,82,21.2,32.900,5.0,4.2,9.2,3.2,0.2,4.8,27.585365853658537,5.536585365853658,4.195121951219512,2.7439024390243905,0.15853658536585366,Philadelphia 76ers,8,48,0.585
Bobby Jackson,PG,SAC,59,895,182,219,71,3,106,0.525,2003,PG,59,18.4,23.800,3.3,2.2,5.5,2.4,0.5,2.1,15.169491525423728,3.0847457627118646,3.711864406779661,1.2033898305084745,0.05084745762711865,Sacramento Kings,1,59,0.72
Antawn Jamison,SF,GSW,82,1822,156,578,76,45,177,0.492,2003,SF,82,19.0,24.500,8.2,0.3,8.5,2.8,-2.1,2.2,22.21951219512195,1.9024390243902438,7.048780487804878,0.926829268292683,0.5487804878048781,Golden State Warriors,17,38,0.463
Richard Jefferson,SF,NJN,80,1242,201,514,80,44,156,0.504,2003,SF,80,16.6,19.700,5.4,4.4,9.9,0.9,0.6,2.5,15.525,2.5125,6.425,1.0,0.55,New Jersey Nets,6,49,0.598
Eddie Jones,SG,MIA,47,869,173,226,64,31,85,0.494,2003,SG,47,18.9,23.000,3.9,2.1,6.0,3.4,1.5,3.1,18.48936170212766,3.6808510638297873,4.808510638297872,1.3617021276595744,0.6595744680851063,Miami Heat,24,25,0.305
Michael Jordan*,SF,WAS,82,1640,311,497,123,39,173,0.450,2003,SF,82,19.3,28.700,2.9,3.4,6.2,1.8,0.0,2.8,20.0,3.792682926829268,6.060975609756097,1.5,0.47560975609756095,Washington Wizards,19,37,0.451
Jason Kidd*,PG,NJN,80,1495,711,504,179,25,296,0.465,2003,PG,80,22.2,25.900,5.5,5.8,11.3,4.8,1.8,6.5,18.6875,8.8875,6.3,2.2375,0.3125,New Jersey Nets,6,49,0.598
Rashard Lewis,SF,SEA,77,1396,133,503,99,35,143,0.484,2003,SF,77,16.7,22.200,5.0,2.8,7.8,1.2,-0.5,2.1,18.12987012987013,1.7272727272727273,6.532467532467533,1.2857142857142858,0.45454545454545453,Seattle SuperSonics,16,40,0.488
Corey Maggette,SG,LAC,64,1073,123,322,55,16,147,0.484,2003,SG,64,17.4,24.800,4.0,1.0,5.0,1.5,-1.1,1.2,16.765625,1.921875,5.03125,0.859375,0.25,Los Angeles Clippers,23,27,0.329
