playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,teamName,wins,topWsPlayer
Charles Shackleford,C,CHH,32,107,13,129,5,13,27,0.489,1999,C,32,12.1,16.800,0.1,0.5,0.7,-3.2,-0.2,-0.1,,,
Brian Shaw,PG,POR,1,0,1,1,0,0,1,0.000,1999,PG,1,-11.7,18.300,0.0,0.0,0.0,-17.9,-3.7,0.0,,,
Casey Shaw,C,PHI,9,2,0,3,0,0,2,0.125,1999,C,9,-14.9,32.400,-0.1,0.0,-0.1,-18.5,-11.3,-0.1,,,
Jeff Sheppard,SG,ATL,18,40,16,22,3,0,7,0.410,1999,SG,18,8.7,13.200,0.1,0.2,0.3,-2.5,0.8,0.0,,,
Miles Simon,SG,ORL,5,2,0,2,1,0,3,0.200,1999,SG,5,-7.2,19.100,-0.1,0.0,-0.1,-13.5,-3.8,-0.1,,,
Dickey Simpkins,C,CHI,50,456,65,339,36,13,72,0.463,1999,C,50,13.4,16.300,1.5,1.3,2.9,-1.6,-0.8,-0.2,,,
Alvin Sims,SG,PHO,4,11,5,4,2,0,6,0.450,1999,SG,4,10.9,33.600,-0.1,0.0,-0.1,-2.6,-1.4,0.0,,,
Brian Skinner,PF,LAC,21,86,1,53,10,13,19,0.465,1999,PF,21,13.2,18.400,0.0,0.1,0.1,-1.7,-1.0,0.0,,,
Reggie Slater,PF,TOR,30,115,5,70,3,3,25,0.383,1999,PF,30,11.3,24.700,0.1,0.1,0.2,-3.9,-3.5,-0.4,,,
Charles Smith,SG,LAC,23,84,13,24,17,14,20,0.397,1999,SG,23,7.1,17.800,-0.5,0.1,-0.5,-3.9,-0.1,-0.2,,,
Joe Smith,C,MIN,43,588,68,354,32,66,66,0.427,1999,C,43,16.6,20.800,2.0,1.7,3.7,0.0,-0.5,0.6,,,
Michael Smith,PF,VAN,48,230,48,350,46,18,60,0.535,1999,PF,48,14.3,10.900,1.3,0.9,2.3,-0.6,-0.4,0.3,,,
Steve Smith,SG,ATL,36,672,118,151,36,11,99,0.445,1999,SG,36,17.9,26.400,2.7,1.7,4.4,2.9,0.2,1.7,,,
Rik Smits,C,IND,49,728,52,275,18,52,75,0.490,1999,C,49,20.2,28.900,2.3,1.2,3.4,1.3,-0.7,0.9,,,
Eric Snow,PG,PHI,48,413,301,162,100,1,111,0.435,1999,PG,48,12.9,13.900,1.3,2.5,3.8,-1.7,1.6,0.8,,,
Felton Spencer,C,GSW,26,42,0,46,5,10,9,0.455,1999,C,26,9.8,14.900,0.0,0.3,0.3,-6.0,1.3,-0.1,,,
Latrell Sprewell,SF,NYK,37,606,91,156,46,2,79,0.435,1999,SF,37,16.7,26.500,1.3,1.7,3.0,1.1,0.2,1.1,,,
Ryan Stack,PF,CLE,18,47,5,34,2,11,9,0.378,1999,PF,18,9.7,13.400,0.2,0.1,0.4,-3.9,-1.1,-0.2,,,
Jerry Stackhouse,SG,DET,42,607,118,107,34,19,121,0.407,1999,SG,42,15.2,28.700,0.9,1.0,1.9,0.5,-1.3,0.4,,,
John Starks,SG,GSW,50,690,235,163,69,5,83,0.423,1999,SG,50,13.9,22.500,1.5,1.5,3.0,0.4,0.4,1.2,,,
Vladimir Stepania,C,SEA,23,127,12,75,10,23,32,0.424,1999,C,23,11.3,25.300,-0.5,0.3,-0.1,-6.0,-0.2,-0.3,,,
Michael Stewart,C,TOR,42,61,5,99,4,28,12,0.415,1999,C,42,8.8,8.700,0.3,0.4,0.7,-4.5,-0.4,-0.3,,,
Bryant Stith,SG,DEN,46,320,82,107,28,15,45,0.447,1999,SG,46,10.0,13.900,1.0,-0.5,0.5,-1.2,-1.5,-0.2,,,
John Stockton*,PG,UTA,50,553,374,146,81,13,110,0.507,1999,PG,50,21.9,20.100,4.2,2.2,6.4,4.1,1.9,2.8,,,
Peja Stojaković,SF,SAC,48,402,72,143,41,7,53,0.454,1999,SF,48,13.5,19.100,1.0,0.7,1.7,0.5,-0.5,0.5,,,
Damon Stoudamire,PG,POR,50,631,312,167,49,4,110,0.431,1999,PG,50,14.7,21.700,1.7,1.8,3.6,0.8,-0.7,0.9,,,
Erick Strickland,SG,DAL,33,249,64,83,40,2,36,0.443,1999,SG,33,18.0,23.100,0.7,0.7,1.3,0.4,1.4,0.6,,,
Mark Strickland,PF,MIA,32,119,9,78,7,8,13,0.495,1999,PF,32,14.7,17.400,0.5,0.5,1.0,-0.2,-0.3,0.1,,,
Rod Strickland,PG,WAS,44,690,434,212,76,5,142,0.426,1999,PG,44,20.2,24.000,2.8,1.3,4.1,3.4,-0.3,2.1,,,
